Mes_Año,Usuario,Metros cuadrados reales por rollo,tiempo_en_rollo,tiempo_en_horas,metros_por_hora
2022-06,mcarrill,39561.11971188559,0 days 09:29:50,9.497222222222222,4165.546386744315
2022-07,FLOPEZR,8333.042000000001,0 days 05:35:51,5.5975,1488.707815989281
2022-07,JRODRIMA,49154.75,0 days 11:17:24,11.29,4353.830823737821
2022-07,alopezb,392851.4044,3 days 10:32:31,82.54194444444444,4759.4154347116455
2022-07,elopezt,10827.732,0 days 03:08:32,3.1422222222222222,3445.8835926449788
2022-07,eperezv,1246441.626356,10 days 11:34:08,251.5688888888889,4954.673178631875
2022-07,gilrodrigueza,82115.09700000001,0 days 13:19:17,13.321388888888889,6164.154329920555
2022-07,grangel,1647979.077592,15 days 03:40:41,363.67805555555555,4531.422923152574
2022-07,gsotor,24329.675,0 days 05:01:25,5.023611111111111,4843.064970970418
2022-07,iperalta,908.238,0 days 00:24:44,0.4122222222222222,2203.272776280324
2022-07,jgalvana,25924.268,0 days 06:38:18,6.638333333333334,3905.2374592016067
2022-07,jmatahe,1039558.982,10 days 12:38:58,252.64944444444444,4114.629993689104
2022-07,jmlarar,1267085.6930500001,10 days 09:41:53,249.69805555555556,5074.471606239981
2022-07,jtorrem,1877596.09532,16 days 07:21:09,391.3525,4797.710747523013
2022-07,jtorresb,1114637.218,11 days 02:35:16,266.5877777777778,4181.126484084875
2022-07,jtoscano,1163894.786584,12 days 05:29:58,293.49944444444446,3965.577477623846
2022-07,rholten,57442.57576,0 days 10:30:58,10.516111111111112,5462.340132495113
2022-08,eperezv,1989205.3080240001,15 days 16:11:36,376.1933333333333,5287.720785475553
2022-08,gilrodrigueza,46044.522,0 days 11:19:24,11.323333333333334,4066.3398881365906
2022-08,grangel,2233588.7787450003,17 days 04:33:48,412.56333333333333,5413.929446173921
2022-08,iperalta,4752.41904,0 days 00:42:56,0.7155555555555555,6641.579403726708
2022-08,jgalvana,48321.633,0 days 10:58:26,10.973888888888888,4403.328071685314
2022-08,jmatahe,1548938.032168,15 days 05:27:51,365.46416666666664,4238.276070389026
2022-08,jmlarar,42297.39016,0 days 07:30:11,7.503055555555555,5637.355321017364
2022-08,jtorrem,2088901.48764,17 days 01:10:49,409.1802777777778,5105.088395229214
2022-08,jtorresb,1323422.805744,14 days 00:43:01,336.71694444444444,3930.3718674673173
2022-08,jtoscano,1685002.811,17 days 06:05:49,414.09694444444443,4069.10225638253
2022-08,mcarrill,12078.553,0 days 03:10:15,3.1708333333333334,3809.267700394218
2022-08,rholten,11336.938,0 days 02:10:40,2.1777777777777776,5205.736836734694
2022-08,tflores,8351.306999999999,0 days 01:30:24,1.5066666666666666,5542.9028761061945
2022-09,alopezb,103293.700093,1 days 01:47:02,25.78388888888889,4006.1334633470515
2022-09,elopezt,3237.1440000000002,0 days 00:34:51,0.5808333333333333,5573.275179340029
2022-09,eperezv,1525548.9627,15 days 02:38:58,362.64944444444444,4206.676684799677
2022-09,gilrodrigueza,60963.266,1 days 03:20:31,27.341944444444444,2229.6609564060104
2022-09,grangel,1578496.239606,14 days 06:25:52,342.43111111111114,4609.6753139168295
2022-09,gsotor,6524.778,0 days 01:20:38,1.343888888888889,4855.146920214965
2022-09,iperalta,3978.2400000000007,0 days 00:49:27,0.8241666666666667,4826.984833164814
2022-09,jgalvana,146759.743,1 days 03:15:33,27.259166666666665,5383.867555256641
2022-09,jmatahe,1107633.1086,12 days 05:55:37,293.9269444444444,3768.3959553063546
2022-09,jmlarar,6074.364,0 days 00:57:46,0.9627777777777777,6309.206693594922
2022-09,jtorrem,1621751.984512,14 days 02:41:00,338.68333333333334,4788.40209983367
